Taxon	microhab_pel	microhab_arg	microhab_psa	microhab_aka	microhab_mil	microhab_mal	microhab_hpe	microhab_alg	microhab_mph	microhab_pom	microhab_woo	microhab_mad	microhab_oth	current_lib	current_lip	current_lrp	current_rlp	current_rhp	current_rhb	current_ind	temp_vco	temp_cod	temp_mod	temp_war	temp_eut	pH_aci	pH_neu	pH_ind	sapro_xeno	sapro_oligo	sapro_beta	sapro_alpha	sapro_poly	feedingtype_gra	feedingtype_min	feedingtype_xyl	feedingtype_shr	feedingtype_gat	feedingtype_aff	feedingtype_pff	feedingtype_pre	feedingtype_par	feedingtype_other
Nais simplex																1														1	3	5	1	5				5					
Nais stolci																1													1	4	4	1		5				5					
Nais variabilis																1														1	3	5	1	5				5					
Ophidonais serpentina																1														1	2	5	2					10					
Paranais botniensis																																											
Paranais frici																1														1	5	4						10					
Paranais litoralis																	1																										
Piguetiella blanci															1																							10					
Pristina aequiseta															1															3	4	3						10					
Pristina amphibiotica																																											
Pristina bilobata															1																3	7						10					
Pristina foreli																1														3	4	3						10					
Pristina longiseta																				1																		10					
Pristina menoni																														1	5	4						10					
Pristina proboscidea																																											
Pristina rosea																1															4	6						10					
Pristinella amphibiotica																																											
Pristinella idrensis																																											
Pristinella jenkinae																													1	5	4							10					
Ripistes parasita															1																									10			
Slavina appendiculata																														2	5	3						10					
Specaria josinae																1															7	3						10					
Stylaria lacustris															1															1	5	4						10					
Uncinais uncinata																	1													3	7							10					
Vejdovskiella comata																1														2	4	4						10					
Vejdovskiella intermedia																														4	5	1						10					
OCTOCHAETIDAE																																											
Dichogaster bolaui																																											
Dichogaster saliens																																											
PROPAPPIDAE																																											
Propappus volki																	1													3	5	2						10					
SPARGANOPHILIDAE																																											
Sparganophilus tamesis																																											
TUBIFICIDAE																																											
Aulodrilus japonicus															1																							10					
Aulodrilus limnobius																1														2	5	3						10					
Aulodrilus pigueti															1																							10					
Aulodrilus pluriseta															1															1	6	3						10					
Bothrioneurum vejdovskyanum																	1													4	5	1											
Branchiura sowerbyi																1															6	4						10					
Clitellio arenarius																																											
Embolocephalus velutinus																													1	3	5	1						10					
Haber speciosus																																											
Ilyodrilus templetoni																	1														5	5						10					
Isochaeta virulenta																																						10					
Isochaetides michaelseni																1															4	4	2					10					
Isochaetides newaensis																																											
Limnodrilus cervix																																											
Limnodrilus claparedeanus																	1													1	2	4	3					10					
Limnodrilus hoffmeisteri																	1														1	3	6					10					
Limnodrilus profundicola																1															2	5	3					10					
Limnodrilus udekemianus																		1													1	5	4					10					
Monopylephorus rubroniveus																																											
